Time,Lat,Lon
2019-04-27 21:10:14,42.3426980,-83.484730
2019-04-27 21:10:17,42.3429861,-83.484080
2019-04-27 21:10:20,42.3432607,-83.483450
2019-04-27 21:10:22,42.3434387,-83.483037
2019-04-27 21:10:26,42.3438002,-83.482203
2019-04-27 21:10:30,42.3441672,-83.481383
2019-04-27 21:10:34,42.3446129,-83.480635
2019-04-27 21:10:37,42.3450237,-83.480118
2019-04-27 21:10:38,42.3451703,-83.479963
2019-04-27 21:10:41,42.3456260,-83.479572
2019-04-27 21:10:42,42.3457807,-83.479459
2019-04-27 21:10:46,42.3464147,-83.479110
2019-04-27 21:10:50,42.3470836,-83.478900
2019-04-27 21:10:53,42.3476173,-83.478856
2019-04-27 21:10:57,42.3483025,-83.478865
2019-04-27 21:10:58,42.3484716,-83.478867
2019-04-27 21:10:59,42.3486448,-83.478868
2019-04-27 21:11:03,42.3493257,-83.478880
2019-04-27 21:11:07,42.3499970,-83.478887
2019-04-27 21:11:08,42.3501571,-83.478898
2019-04-27 21:11:11,42.3505752,-83.478930
2019-04-27 21:11:14,42.3508273,-83.478940
2019-04-27 21:11:16,42.3508641,-83.478950
2019-04-27 21:12:11,42.3508900,-83.478949
2019-04-27 21:12:14,42.3511113,-83.478949
2019-04-27 21:12:17,42.3514331,-83.478950
2019-04-27 21:12:20,42.3518762,-83.478956
2019-04-27 21:12:22,42.3522198,-83.478966
2019-04-27 21:12:24,42.3525768,-83.478979
2019-04-27 21:12:25,42.3527618,-83.478986
2019-04-27 21:12:26,42.3529493,-83.478994
2019-04-27 21:12:29,42.3534993,-83.479019
2019-04-27 21:12:32,42.3540421,-83.479048
2019-04-27 21:12:33,42.3542204,-83.479058
2019-04-27 21:12:34,42.3543974,-83.479066
2019-04-27 21:12:36,42.3547489,-83.479083
2019-04-27 21:12:38,42.3551023,-83.479098
2019-04-27 21:12:42,42.3558185,-83.479130
2019-04-27 21:12:46,42.3565243,-83.479160
2019-04-27 21:12:48,42.3568521,-83.479173
2019-04-27 21:12:52,42.3575091,-83.479195
2019-04-27 21:12:54,42.3578330,-83.479207
2019-04-27 21:12:58,42.3584621,-83.479222
2019-04-27 21:13:00,42.3587851,-83.479234
2019-04-27 21:13:01,42.3589490,-83.479242
2019-04-27 21:13:02,42.3591142,-83.479249
2019-04-27 21:13:06,42.3598047,-83.479281
2019-04-27 21:13:09,42.3602993,-83.479302
2019-04-27 21:13:13,42.3609297,-83.479329
2019-04-27 21:13:15,42.3612220,-83.479344
2019-04-27 21:13:19,42.3617726,-83.479371
2019-04-27 21:13:21,42.3620201,-83.479383
2019-04-27 21:13:24,42.3622818,-83.479398
2019-04-27 21:13:26,42.3623283,-83.479410
2019-04-27 21:13:42,42.3623283,-83.479421
2019-04-27 21:13:47,42.3623816,-83.479423
2019-04-27 21:13:51,42.3626861,-83.479431
2019-04-27 21:13:53,42.3629003,-83.479440
2019-04-27 21:13:55,42.3631570,-83.479451
2019-04-27 21:13:59,42.3637439,-83.479498
2019-04-27 21:14:00,42.3638970,-83.479515
2019-04-27 21:14:01,42.3640497,-83.479534
2019-04-27 21:14:02,42.3642002,-83.479554
2019-04-27 21:14:06,42.3647747,-83.479640
2019-04-27 21:14:08,42.3650516,-83.479693
2019-04-27 21:14:10,42.3653404,-83.479741
2019-04-27 21:14:12,42.3656394,-83.479778
2019-04-27 21:14:13,42.3657919,-83.479792
2019-04-27 21:14:14,42.3659448,-83.479803
2019-04-27 21:14:16,42.3662532,-83.479820
2019-04-27 21:14:18,42.3665667,-83.479832
2019-04-27 21:14:21,42.3670513,-83.479850
2019-04-27 21:14:25,42.3677268,-83.479892
2019-04-27 21:14:26,42.3678956,-83.479907
2019-04-27 21:14:30,42.3684948,-83.479971
2019-04-27 21:14:32,42.3687831,-83.480001
2019-04-27 21:14:36,42.3693452,-83.480043
2019-04-27 21:14:39,42.3697459,-83.480068
2019-04-27 21:14:44,42.3704153,-83.480105
2019-04-27 21:14:45,42.3705615,-83.480114
2019-04-27 21:14:48,42.3710239,-83.480140
