Time,Lat,Lon
2019-05-03 15:14:07,42.3013630,-83.236374
2019-05-03 15:14:11,42.3010818,-83.235643
2019-05-03 15:14:16,42.3007858,-83.234875
2019-05-03 15:14:19,42.3006631,-83.234550
2019-05-03 15:14:22,42.3005919,-83.234366
2019-05-03 15:14:25,42.3005882,-83.234342
2019-05-03 15:15:11,42.3005677,-83.234277
2019-05-03 15:15:15,42.3004800,-83.234029
2019-05-03 15:15:19,42.3003094,-83.233595
2019-05-03 15:15:23,42.3000920,-83.233020
2019-05-03 15:15:27,42.2998430,-83.232370
2019-05-03 15:15:29,42.2997091,-83.232022
2019-05-03 15:15:33,42.2994428,-83.231344
2019-05-03 15:15:37,42.2991681,-83.230636
2019-05-03 15:15:38,42.2991005,-83.230463
2019-05-03 15:15:42,42.2988218,-83.229750
2019-05-03 15:15:46,42.2985421,-83.229030
2019-05-03 15:15:48,42.2984020,-83.228664
2019-05-03 15:15:52,42.2981132,-83.227920
2019-05-03 15:15:55,42.2979102,-83.227393
2019-05-03 15:15:56,42.2978488,-83.227236
2019-05-03 15:16:00,42.2976361,-83.226692
2019-05-03 15:16:03,42.2975351,-83.226431
2019-05-03 15:16:06,42.2974872,-83.226296
2019-05-03 15:16:10,42.2974610,-83.226225
2019-05-03 15:16:13,42.2973940,-83.226048
2019-05-03 15:16:17,42.2972420,-83.225651
2019-05-03 15:16:21,42.2970249,-83.225093
2019-05-03 15:16:26,42.2967226,-83.224319
2019-05-03 15:16:28,42.2965926,-83.223988
2019-05-03 15:16:32,42.2963319,-83.223314
2019-05-03 15:16:34,42.2962012,-83.222976
2019-05-03 15:16:35,42.2961365,-83.222806
2019-05-03 15:16:36,42.2960713,-83.222639
2019-05-03 15:16:37,42.2960117,-83.222487
2019-05-03 15:16:39,42.2958889,-83.222166
2019-05-03 15:16:41,42.2957643,-83.221846
2019-05-03 15:16:46,42.2954649,-83.221045
2019-05-03 15:16:48,42.2953652,-83.220748
2019-05-03 15:16:52,42.2952034,-83.220298
2019-05-03 15:16:55,42.2951352,-83.220114
2019-05-03 15:16:58,42.2951295,-83.220091
2019-05-03 15:17:38,42.2950996,-83.220014
2019-05-03 15:17:44,42.2950759,-83.219947
2019-05-03 15:17:45,42.2950756,-83.219947
2019-05-03 15:17:46,42.2950756,-83.219947
2019-05-03 15:17:47,42.2950754,-83.219947
2019-05-03 15:17:48,42.2950732,-83.219941
2019-05-03 15:17:49,42.2950603,-83.219908
2019-05-03 15:17:50,42.2950383,-83.219851
2019-05-03 15:17:53,42.2949586,-83.219551
2019-05-03 15:17:56,42.2949785,-83.219087
2019-05-03 15:17:59,42.2950977,-83.218541
2019-05-03 15:18:03,42.2952762,-83.217729
2019-05-03 15:18:04,42.2953255,-83.217509
2019-05-03 15:18:08,42.2955274,-83.216606
2019-05-03 15:18:11,42.2956835,-83.215912
2019-05-03 15:18:14,42.2958448,-83.215205
2019-05-03 15:18:17,42.2960102,-83.214473
2019-05-03 15:18:20,42.2961733,-83.213754
2019-05-03 15:18:21,42.2962313,-83.213509
2019-05-03 15:18:24,42.2964025,-83.212789
2019-05-03 15:18:27,42.2965595,-83.212059
2019-05-03 15:18:30,42.2967229,-83.211340
2019-05-03 15:18:32,42.2968294,-83.210873
2019-05-03 15:18:35,42.2969894,-83.210177
2019-05-03 15:18:39,42.2972033,-83.209289
2019-05-03 15:18:40,42.2972535,-83.209077
2019-05-03 15:18:44,42.2975132,-83.208315
2019-05-03 15:18:45,42.2975828,-83.208139
