Time,Lat,Lon
2019-05-02 11:49:03,42.3367616,-83.469824
2019-05-02 11:49:04,42.3367581,-83.469613
2019-05-02 11:49:08,42.3367674,-83.468759
2019-05-02 11:49:09,42.3367778,-83.468538
2019-05-02 11:49:13,42.3368370,-83.467641
2019-05-02 11:49:14,42.3368458,-83.467412
2019-05-02 11:49:15,42.3368530,-83.467174
2019-05-02 11:49:19,42.3368873,-83.466256
2019-05-02 11:49:20,42.3368921,-83.466028
2019-05-02 11:49:24,42.3369316,-83.465103
2019-05-02 11:49:27,42.3369605,-83.464401
2019-05-02 11:49:31,42.3369943,-83.463519
2019-05-02 11:49:34,42.3370159,-83.462825
2019-05-02 11:49:38,42.3370474,-83.461924
2019-05-02 11:49:39,42.3370559,-83.461699
2019-05-02 11:49:40,42.3370573,-83.461471
2019-05-02 11:49:41,42.3370522,-83.461240
2019-05-02 11:49:42,42.3370434,-83.461019
2019-05-02 11:49:43,42.3370391,-83.460807
2019-05-02 11:49:45,42.3370481,-83.460415
2019-05-02 11:49:48,42.3370743,-83.459938
2019-05-02 11:49:50,42.3370828,-83.459687
2019-05-02 11:49:51,42.3370765,-83.459623
2019-05-02 11:49:52,42.3370753,-83.459576
2019-05-02 11:49:53,42.3370741,-83.459577
2019-05-02 11:49:54,42.3370746,-83.459574
2019-05-02 11:49:55,42.3370676,-83.459572
2019-05-02 11:49:56,42.3370515,-83.459552
2019-05-02 11:49:57,42.3370216,-83.459523
2019-05-02 11:49:59,42.3368894,-83.459475
2019-05-02 11:50:01,42.3366801,-83.459452
2019-05-02 11:50:02,42.3365587,-83.459441
2019-05-02 11:50:05,42.3361316,-83.459410
2019-05-02 11:50:08,42.3356346,-83.459381
2019-05-02 11:50:09,42.3354587,-83.459370
2019-05-02 11:50:10,42.3352875,-83.459359
2019-05-02 11:50:11,42.3351139,-83.459350
2019-05-02 11:50:12,42.3349448,-83.459344
2019-05-02 11:50:16,42.3342551,-83.459311
2019-05-02 11:50:20,42.3335849,-83.459272
2019-05-02 11:50:21,42.3334208,-83.459261
2019-05-02 11:50:25,42.3327525,-83.459224
2019-05-02 11:50:28,42.3322651,-83.459192
2019-05-02 11:50:32,42.3316262,-83.459172
2019-05-02 11:50:36,42.3309723,-83.459142
2019-05-02 11:50:37,42.3308085,-83.459131
2019-05-02 11:50:41,42.3301690,-83.459095
2019-05-02 11:50:45,42.3295423,-83.459053
2019-05-02 11:50:49,42.3289109,-83.458997
2019-05-02 11:50:53,42.3282921,-83.458963
2019-05-02 11:50:57,42.3276764,-83.458925
2019-05-02 11:51:01,42.3270638,-83.458893
2019-05-02 11:51:02,42.3269094,-83.458882
2019-05-02 11:51:06,42.3262818,-83.458846
2019-05-02 11:51:09,42.3258059,-83.458821
2019-05-02 11:51:13,42.3251624,-83.458792
2019-05-02 11:51:15,42.3248349,-83.458775
