Time,Lat,Lon
2019-04-23 21:14:58,42.3038906,-83.254838
2019-04-23 21:15:04,42.3036994,-83.255645
2019-04-23 21:15:08,42.3036166,-83.256023
2019-04-23 21:15:12,42.3036044,-83.256159
2019-04-23 21:15:15,42.3035352,-83.256399
2019-04-23 21:15:19,42.3034006,-83.256926
2019-04-23 21:15:24,42.3032887,-83.257669
2019-04-23 21:15:25,42.3032885,-83.257836
2019-04-23 21:15:28,42.3032408,-83.258431
2019-04-23 21:15:31,42.3031400,-83.259095
2019-04-23 21:15:35,42.3029545,-83.259890
2019-04-23 21:15:37,42.3028697,-83.260243
2019-04-23 21:15:38,42.3028275,-83.260421
2019-04-23 21:15:39,42.3027883,-83.260596
2019-04-23 21:15:40,42.3027452,-83.260770
2019-04-23 21:15:41,42.3027052,-83.260937
2019-04-23 21:15:44,42.3025808,-83.261435
2019-04-23 21:15:45,42.3025370,-83.261603
2019-04-23 21:15:46,42.3024931,-83.261764
2019-04-23 21:15:47,42.3024526,-83.261912
2019-04-23 21:15:48,42.3024123,-83.262062
2019-04-23 21:15:53,42.3021970,-83.262818
2019-04-23 21:15:54,42.3021511,-83.262983
2019-04-23 21:15:58,42.3019522,-83.263667
2019-04-23 21:16:00,42.3018466,-83.264038
2019-04-23 21:16:01,42.3018003,-83.264218
2019-04-23 21:16:02,42.3017512,-83.264394
2019-04-23 21:16:03,42.3017063,-83.264578
2019-04-23 21:16:04,42.3016640,-83.264751
2019-04-23 21:16:05,42.3016234,-83.264916
2019-04-23 21:16:10,42.3014232,-83.265735
2019-04-23 21:16:12,42.3013350,-83.266106
2019-04-23 21:16:15,42.3012016,-83.266651
2019-04-23 21:16:16,42.3011563,-83.266838
2019-04-23 21:16:17,42.3011065,-83.267030
2019-04-23 21:16:18,42.3010595,-83.267238
2019-04-23 21:16:19,42.3010131,-83.267434
2019-04-23 21:16:23,42.3008401,-83.268160
2019-04-23 21:16:27,42.3006641,-83.268904
2019-04-23 21:16:28,42.3006211,-83.269090
2019-04-23 21:16:32,42.3004494,-83.269786
2019-04-23 21:16:33,42.3004080,-83.269962
2019-04-23 21:16:36,42.3002763,-83.270501
2019-04-23 21:16:37,42.3002324,-83.270687
2019-04-23 21:16:38,42.3001869,-83.270878
2019-04-23 21:16:39,42.3001398,-83.271064
2019-04-23 21:16:40,42.3000908,-83.271249
2019-04-23 21:16:44,42.2999058,-83.272029
2019-04-23 21:16:48,42.2997081,-83.272861
2019-04-23 21:16:49,42.2996460,-83.273098
2019-04-23 21:16:50,42.2995867,-83.273356
2019-04-23 21:16:51,42.2995274,-83.273613
2019-04-23 21:16:52,42.2994691,-83.273866
2019-04-23 21:16:53,42.2994186,-83.274127
2019-04-23 21:16:54,42.2993681,-83.274366
2019-04-23 21:16:56,42.2992651,-83.274871
2019-04-23 21:16:58,42.2991641,-83.275383
2019-04-23 21:16:59,42.2991151,-83.275641
2019-04-23 21:17:00,42.2990674,-83.275890
2019-04-23 21:17:01,42.2990182,-83.276147
2019-04-23 21:17:04,42.2988914,-83.276899
2019-04-23 21:17:05,42.2988452,-83.277151
2019-04-23 21:17:06,42.2988063,-83.277387
2019-04-23 21:17:08,42.2987388,-83.277861
2019-04-23 21:17:09,42.2987041,-83.278089
2019-04-23 21:17:11,42.2986441,-83.278544
2019-04-23 21:17:15,42.2985307,-83.279472
2019-04-23 21:17:18,42.2984417,-83.280192
2019-04-23 21:17:19,42.2984069,-83.280439
