Time,Lat,Lon
2019-04-23 13:26:02,42.3013596,-83.236390
2019-04-23 13:26:06,42.3010887,-83.235683
2019-04-23 13:26:07,42.3010270,-83.235526
2019-04-23 13:26:12,42.3007490,-83.234808
2019-04-23 13:26:16,42.3005898,-83.234387
2019-04-23 13:26:21,42.3005415,-83.234233
2019-04-23 13:26:56,42.3005295,-83.234166
2019-04-23 13:26:57,42.3004938,-83.234062
2019-04-23 13:27:00,42.3003573,-83.233687
2019-04-23 13:27:03,42.3001749,-83.233199
2019-04-23 13:27:07,42.2998981,-83.232467
2019-04-23 13:27:08,42.2998332,-83.232304
2019-04-23 13:27:12,42.2995546,-83.231612
2019-04-23 13:27:14,42.2994157,-83.231256
2019-04-23 13:27:18,42.2991108,-83.230492
2019-04-23 13:27:19,42.2990338,-83.230309
2019-04-23 13:27:23,42.2987484,-83.229604
2019-04-23 13:27:26,42.2985302,-83.229052
2019-04-23 13:27:30,42.2982498,-83.228320
2019-04-23 13:27:34,42.2979694,-83.227602
2019-04-23 13:27:35,42.2978973,-83.227444
2019-04-23 13:27:36,42.2978293,-83.227276
2019-04-23 13:27:40,42.2975840,-83.226645
2019-04-23 13:27:44,42.2973715,-83.226110
2019-04-23 13:27:45,42.2973310,-83.226000
2019-04-23 13:27:47,42.2972876,-83.225870
2019-04-23 13:27:49,42.2972851,-83.225846
2019-04-23 13:28:10,42.2972417,-83.225738
2019-04-23 13:28:14,42.2970743,-83.225289
2019-04-23 13:28:18,42.2968402,-83.224670
2019-04-23 13:28:22,42.2965839,-83.223996
2019-04-23 13:28:25,42.2963844,-83.223478
2019-04-23 13:28:29,42.2960963,-83.222741
2019-04-23 13:28:31,42.2959452,-83.222361
2019-04-23 13:28:35,42.2956578,-83.221639
2019-04-23 13:28:37,42.2955358,-83.221302
2019-04-23 13:28:38,42.2954798,-83.221136
2019-04-23 13:28:39,42.2954263,-83.220972
2019-04-23 13:28:40,42.2953745,-83.220816
2019-04-23 13:28:41,42.2953205,-83.220666
2019-04-23 13:28:43,42.2952128,-83.220404
2019-04-23 13:28:46,42.2951164,-83.220160
2019-04-23 13:28:48,42.2951159,-83.220135
2019-04-23 13:29:22,42.2951049,-83.220030
2019-04-23 13:29:28,42.2950222,-83.219873
2019-04-23 13:29:34,42.2949163,-83.219623
2019-04-23 13:29:36,42.2949039,-83.219422
2019-04-23 13:29:39,42.2949767,-83.218977
2019-04-23 13:29:42,42.2951153,-83.218325
2019-04-23 13:29:45,42.2952888,-83.217603
2019-04-23 13:29:47,42.2954000,-83.217106
2019-04-23 13:29:50,42.2955623,-83.216391
2019-04-23 13:29:54,42.2957764,-83.215506
2019-04-23 13:29:58,42.2959842,-83.214613
2019-04-23 13:30:02,42.2961926,-83.213701
2019-04-23 13:30:03,42.2962448,-83.213474
2019-04-23 13:30:07,42.2964638,-83.212560
2019-04-23 13:30:11,42.2966740,-83.211636
2019-04-23 13:30:12,42.2967283,-83.211401
2019-04-23 13:30:15,42.2968943,-83.210709
2019-04-23 13:30:19,42.2971010,-83.209805
2019-04-23 13:30:21,42.2972065,-83.209358
2019-04-23 13:30:22,42.2972653,-83.209129
2019-04-23 13:30:25,42.2974633,-83.208502
2019-04-23 13:30:26,42.2975346,-83.208309
2019-04-23 13:30:27,42.2976081,-83.208114
2019-04-23 13:30:28,42.2976810,-83.207923
2019-04-23 13:30:29,42.2977537,-83.207734
2019-04-23 13:30:31,42.2978906,-83.207387
2019-04-23 13:30:34,42.2980574,-83.206970
2019-04-23 13:30:35,42.2980851,-83.206899
2019-04-23 13:30:36,42.2981030,-83.206854
2019-04-23 13:30:39,42.2981061,-83.206858
2019-04-23 13:31:10,42.2981268,-83.206815
2019-04-23 13:31:16,42.2982236,-83.206539
2019-04-23 13:31:20,42.2983400,-83.206225
2019-04-23 13:31:24,42.2984904,-83.205831
2019-04-23 13:31:29,42.2987302,-83.205215
2019-04-23 13:31:31,42.2988933,-83.204847
2019-04-23 13:31:34,42.2991577,-83.204184
2019-04-23 13:31:35,42.2992496,-83.203952
2019-04-23 13:31:38,42.2995073,-83.203294
2019-04-23 13:31:39,42.2995866,-83.203090
2019-04-23 13:31:41,42.2997508,-83.202671
2019-04-23 13:31:42,42.2998367,-83.202454
2019-04-23 13:31:43,42.2999210,-83.202241
2019-04-23 13:31:44,42.3000047,-83.202029
2019-04-23 13:31:45,42.3000915,-83.201806
2019-04-23 13:31:48,42.3003261,-83.201213
2019-04-23 13:31:50,42.3004257,-83.200977
2019-04-23 13:31:52,42.3004494,-83.200928
2019-04-23 13:31:53,42.3004484,-83.200934
2019-04-23 13:31:54,42.3004493,-83.200937
2019-04-23 13:31:55,42.3004483,-83.200941
2019-04-23 13:31:56,42.3004485,-83.200941
2019-04-23 13:32:32,42.3004599,-83.200902
2019-04-23 13:32:33,42.3004863,-83.200820
2019-04-23 13:32:36,42.3006352,-83.200442
2019-04-23 13:32:37,42.3007048,-83.200272
2019-04-23 13:32:38,42.3007830,-83.200083
2019-04-23 13:32:39,42.3008665,-83.199869
2019-04-23 13:32:40,42.3009542,-83.199645
2019-04-23 13:32:41,42.3010476,-83.199408
