Time,Lat,Lon
2019-05-03 20:21:32,42.3088668,-83.189426
2019-05-03 20:21:36,42.3093680,-83.189770
2019-05-03 20:21:41,42.3099500,-83.190166
2019-05-03 20:21:42,42.3100507,-83.190233
2019-05-03 20:21:45,42.3102830,-83.190385
2019-05-03 20:21:47,42.3103469,-83.190414
2019-05-03 20:21:50,42.3103496,-83.190422
2019-05-03 20:21:53,42.3104105,-83.190412
2019-05-03 20:21:54,42.3104517,-83.190382
2019-05-03 20:21:57,42.3105986,-83.190184
2019-05-03 20:22:00,42.3107879,-83.189868
2019-05-03 20:22:02,42.3109259,-83.189608
2019-05-03 20:22:03,42.3109958,-83.189477
2019-05-03 20:22:08,42.3112914,-83.188744
2019-05-03 20:22:09,42.3113465,-83.188596
2019-05-03 20:22:10,42.3114036,-83.188446
2019-05-03 20:22:11,42.3114597,-83.188298
2019-05-03 20:22:12,42.3115217,-83.188153
2019-05-03 20:22:13,42.3115799,-83.188009
2019-05-03 20:22:17,42.3117969,-83.187451
2019-05-03 20:22:18,42.3118412,-83.187300
2019-05-03 20:22:20,42.3119013,-83.186985
2019-05-03 20:22:23,42.3118861,-83.186508
2019-05-03 20:22:26,42.3117723,-83.186049
2019-05-03 20:22:27,42.3117260,-83.185903
2019-05-03 20:22:32,42.3114896,-83.185151
2019-05-03 20:22:35,42.3113279,-83.184733
2019-05-03 20:22:38,42.3110954,-83.184420
2019-05-03 20:22:40,42.3108893,-83.184270
2019-05-03 20:22:41,42.3107782,-83.184198
2019-05-03 20:22:42,42.3106661,-83.184123
2019-05-03 20:22:47,42.3101190,-83.183746
2019-05-03 20:22:50,42.3097938,-83.183519
2019-05-03 20:22:55,42.3092772,-83.183148
2019-05-03 20:22:57,42.3090857,-83.183007
2019-05-03 20:23:01,42.3087015,-83.182799
2019-05-03 20:23:02,42.3085998,-83.182769
2019-05-03 20:23:07,42.3081170,-83.182647
2019-05-03 20:23:10,42.3079647,-83.182606
2019-05-03 20:23:11,42.3079439,-83.182597
2019-05-03 20:23:12,42.3079341,-83.182596
2019-05-03 20:23:13,42.3079320,-83.182597
2019-05-03 20:23:14,42.3079336,-83.182600
2019-05-03 20:23:18,42.3078577,-83.182669
2019-05-03 20:23:21,42.3077111,-83.182960
2019-05-03 20:23:22,42.3076539,-83.183092
2019-05-03 20:23:24,42.3075260,-83.183404
2019-05-03 20:23:28,42.3072208,-83.184132
2019-05-03 20:23:32,42.3068214,-83.184886
2019-05-03 20:23:36,42.3063838,-83.185637
2019-05-03 20:23:37,42.3062792,-83.185838
2019-05-03 20:23:40,42.3059671,-83.186470
2019-05-03 20:23:42,42.3057717,-83.186918
2019-05-03 20:23:43,42.3056704,-83.187156
2019-05-03 20:23:44,42.3055753,-83.187380
2019-05-03 20:23:45,42.3054928,-83.187614
2019-05-03 20:23:46,42.3054041,-83.187863
2019-05-03 20:23:47,42.3053223,-83.188116
2019-05-03 20:23:50,42.3050916,-83.188874
2019-05-03 20:23:51,42.3050167,-83.189125
